"titre";"url";"Jeu par défaut";"PQN française";"PQR française";"Agence de presse";"Presse magazine";"Actualité nationale";"Actualité politique, débats et dossiers";"Actualité internationale";"Actualité économique et finance";"Actualité sciences, culture, arts et média";"Actualité énergie et environnement";"Actualité numérique";"Actualité sports";"Actualité Style, déco, famille et mode de vie";"Actualité argent et placements";"Actualité Justice, insolite, vidéos et faits-divers";"Actualité vie quotidienne, santé et auto-moto";"Actualité locale et sorties";"Actualité éducation, études formation et emploi";"Communauté du renseignement économique"
"Ouest-France.fr - A la une";"http://www.ouest-france.fr/rss-en-continu.xml";"oui";"non";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Ouest-France.fr - Monde-France";"http://www.ouest-france.fr/rss.xml?insee=FRA";"oui";"non";"oui";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Ouest-France.fr - Bretagne";"http://www.ouest-france.fr/rss.xml?region=Bretagne";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Ouest-France.fr - Normandie";"http://www.ouest-france.fr/rss.xml?region=Normandie";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Ouest-France.fr - Pays de la Loire";"http://www.ouest-france.fr/rss.xml?region=pays-de-la-loire";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Ouest-France.fr - Sports";"http://www.ouest-france.fr/rss-en-continu.xml?tid=75707";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non"
"Ouest-France.fr - Loisirs";"http://www.ouest-france.fr/rss-en-continu.xml?tid=75258";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"oui";"non";"non"
"Courrierdelouest.fr - Maine et Loire";"http://www.courrierdelouest.fr/taxonomy/term/21007/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Deux Sèvres";"http://www.courrierdelouest.fr/taxonomy/term/21008/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Tous les sports";"http://www.courrierdelouest.fr/taxonomy/term/20987+20990+20988+20989/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Courrierdelouest.fr - Cholet";"http://www.courrierdelouest.fr/taxonomy/term/20979/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Saumur";"http://www.courrierdelouest.fr/taxonomy/term/20980/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Courrierdelouest.fr - Segré";"http://www.courrierdelouest.fr/taxonomy/term/20981/0/feed";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
